analyte,protein_id,pocket_id,receptor_pdbqt,ligand_pdbqt,config_file,pose_pdbqt,vina_affinity
glucose,Q99798,3,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/Q99798.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/Q99798_pocket3_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/Q99798_pocket3_glucose_out.pdbqt,-6.267
glucose,P0A250,8,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/P0A250.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/P0A250_pocket8_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/P0A250_pocket8_glucose_out.pdbqt,-6.129
glucose,P75780,2,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/P75780.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/P75780_pocket2_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/P75780_pocket2_glucose_out.pdbqt,-5.977
glucose,Q8ZIN3,1,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/Q8ZIN3.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/Q8ZIN3_pocket1_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/Q8ZIN3_pocket1_glucose_out.pdbqt,-5.532
glucose,P40925,2,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/P40925.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/P40925_pocket2_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/P40925_pocket2_glucose_out.pdbqt,-5.079
glucose,Q8ZK18,42,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/Q8ZK18.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/Q8ZK18_pocket42_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/Q8ZK18_pocket42_glucose_out.pdbqt,-5.054
glucose,P0AEP9,19,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/P0AEP9.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/P0AEP9_pocket19_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/P0AEP9_pocket19_glucose_out.pdbqt,-4.757
glucose,P0A250,1,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/receptors/P0A250.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/ligands/glucose.pdbqt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/P0A250_pocket1_box.txt,/Users/matteomeister/Documents/Medical Devices/Projects/Biosensor/docking/glucose/docked/P0A250_pocket1_glucose_out.pdbqt,-4.43
